Bevölkerung nach Geschlecht und nach Größe des bewohnten Privathaushaltes seit 2012 - Zählbezirke Wien | Population by sex and size of inhabited private household since 2012 - subdistricts of Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_DATE;REF_YEAR;SEX;1_PH;2_PH;3-5_PH;6p_PH;ANST
AT13;92100;92106;20121031;2012;2;82;135;202;14;0
AT13;92100;92107;20121031;2012;1;364;486;715;61;227
AT13;92100;92107;20121031;2012;2;372;542;675;68;1
AT13;92100;92108;20121031;2012;1;175;428;537;70;5
AT13;92100;92108;20121031;2012;2;258;484;528;79;2
AT13;92100;92109;20121031;2012;1;481;1036;1544;200;14
AT13;92100;92109;20121031;2012;2;697;1130;1539;184;11
AT13;92100;92110;20121031;2012;1;942;701;838;117;17
AT13;92100;92110;20121031;2012;2;725;713;806;128;9
AT13;92100;92111;20121031;2012;1;400;558;1175;102;58
AT13;92100;92111;20121031;2012;2;433;610;1189;117;266
AT13;92100;92112;20121031;2012;1;380;813;2229;374;36
AT13;92100;92112;20121031;2012;2;483;965;2278;424;23
AT13;92100;92113;20121031;2012;1;306;608;1278;74;30
AT13;92100;92113;20121031;2012;2;411;724;1305;66;16
AT13;92100;92114;20121031;2012;1;612;765;842;141;18
AT13;92100;92114;20121031;2012;2;729;841;903;154;5
AT13;92100;92115;20121031;2012;1;300;601;934;83;3
AT13;92100;92115;20121031;2012;2;599;705;957;89;1
AT13;92100;92116;20121031;2012;1;211;573;715;82;3
AT13;92100;92116;20121031;2012;2;302;595;772;80;2
AT13;92100;92117;20121031;2012;1;809;939;1141;166;32
AT13;92100;92117;20121031;2012;2;945;1113;1215;168;5
AT13;92100;92118;20121031;2012;1;788;1037;1391;154;44
AT13;92100;92118;20121031;2012;2;846;1127;1372;152;28
AT13;92100;92119;20121031;2012;1;313;461;655;120;4
AT13;92100;92119;20121031;2012;2;340;479;661;132;2
AT13;92100;92120;20121031;2012;1;187;209;376;41;3
AT13;92100;92120;20121031;2012;2;215;247;389;37;4
AT13;92100;92121;20121031;2012;1;952;877;1132;200;6
AT13;92100;92121;20121031;2012;2;935;937;1037;182;7
AT13;92100;92122;20121031;2012;1;860;1374;1562;210;29
AT13;92100;92122;20121031;2012;2;1170;1458;1573;227;25
AT13;92100;92123;20121031;2012;1;1107;1495;1979;202;141
AT13;92100;92123;20121031;2012;2;1501;1635;1905;198;141
AT13;92100;92124;20121031;2012;1;344;617;858;72;25
AT13;92100;92124;20121031;2012;2;463;723;900;67;89
AT13;92100;92125;20121031;2012;1;293;551;1141;128;18
AT13;92100;92125;20121031;2012;2;411;671;1229;128;6
AT13;92100;92126;20121031;2012;1;725;978;1421;94;129
AT13;92100;92126;20121031;2012;2;977;1160;1474;87;136
AT13;92100;92127;20121031;2012;1;111;204;383;63;7
AT13;92100;92127;20121031;2012;2;115;212;373;56;1
AT13;92100;92128;20121031;2012;1;42;40;52;22;0
AT13;92100;92128;20121031;2012;2;25;42;39;14;0
AT13;92100;92129;20121031;2012;1;9;43;45;0;0
AT13;92100;92129;20121031;2012;2;8;41;45;0;0
AT13;92100;92130;20121031;2012;1;5;2;4;0;0
AT13;92100;92130;20121031;2012;2;1;2;2;0;0
AT13;92200;92201;20121031;2012;1;122;287;563;67;3
AT13;92200;92201;20121031;2012;2;120;289;556;53;0
AT13;92200;92202;20121031;2012;1;175;442;1582;170;22
AT13;92200;92202;20121031;2012;2;160;486;1543;162;73
AT13;92200;92203;20121031;2012;1;79;236;345;21;11
AT13;92200;92203;20121031;2012;2;97;244;350;20;13
AT13;92200;92204;20121031;2012;1;237;572;1085;103;2
AT13;92200;92204;20121031;2012;2;279;606;1047;89;0
AT13;92200;92205;20121031;2012;1;333;729;1467;122;0
AT13;92200;92205;20121031;2012;2;378;803;1442;99;0
AT13;92200;92206;20121031;2012;1;537;1415;2904;504;31
AT13;92200;92206;20121031;2012;2;823;1571;2968;529;9
AT13;92200;92207;20121031;2012;1;260;669;1240;99;6
AT13;92200;92207;20121031;2012;2;321;769;1264;114;5
AT13;92200;92208;20121031;2012;1;1015;1929;4067;751;23
AT13;92200;92208;20121031;2012;2;1299;2237;4100;800;3
AT13;92200;92209;20121031;2012;1;963;1741;3152;453;104
AT13;92200;92209;20121031;2012;2;1362;2013;3275;495;96
AT13;92200;92210;20121031;2012;1;703;935;1605;139;24
AT13;92200;92210;20121031;2012;2;885;1053;1622;144;135
AT13;92200;92211;20121031;2012;1;1283;1726;1930;121;27
AT13;92200;92211;20121031;2012;2;1615;1918;1988;129;28
AT13;92200;92212;20121031;2012;1;190;388;849;201;2
AT13;92200;92212;20121031;2012;2;273;420;822;230;0
AT13;92200;92213;20121031;2012;1;646;979;1235;163;14
AT13;92200;92213;20121031;2012;2;891;1153;1284;168;2
AT13;92200;92214;20121031;2012;1;355;793;1079;111;18
